contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_12_length_2245_cov_1.759207,112,2245,1.759207,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852907,-200,-300,-400,-500,203691,-650,2,Bacteria,OQC73121.1,99.778,450,1,0.0,913.0
NODE_13_length_2182_cov_1.344526,183,2182,1.344526,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1509405,1903858,82115,356,28211,1224,-650,2,Bacteria,WP_037189663.1,39.796,196,114,1.15e-37,143.0
NODE_14_length_2171_cov_1.778376,231,2171,1.778376,194424,57665,72294,213849,29547,1224,-650,2,Bacteria,CP017111.1,97.653,2173,46,0.0,3725.0,3870,3869,3803,72025,3398,35493,33090,2759,Eukaryota,KAF1858500.1,51.579,285,70,3.95e-66,241.0
NODE_15_length_2080_cov_1.225294,94,2080,1.225294,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2655002,-200,10744,28883,2731619,2731618,-650,10239,Viruses,QFR59689.1,60.177,226,90,3.14e-89,280.0
NODE_16_length_2051_cov_0.760915,66,2051,0.760915,220622,57665,72294,213849,29547,1224,-650,2,Bacteria,CP023275.1,84.538,1688,253,0.0,1664.0,220622,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_096047472.1,84.682,692,90,0.0,1222.0
NODE_17_length_2041_cov_0.922153,103,2041,0.922153,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,328812,375288,2005525,171549,200643,976,-650,2,Bacteria,WP_129732324.1,39.769,347,202,5.33e-81,277.0
NODE_18_length_2028_cov_1.855339,283,2028,1.855339,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2202153,-200,-300,-400,-500,200940,-650,2,Bacteria,RKX60862.1,34.211,114,57,1.46e-09,63.5
NODE_19_length_2013_cov_1.488335,110,2013,1.488335,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,626940,33024,909930,1843488,909932,1239,-650,2,Bacteria,OLA39355.1,26.039,361,239,2.63e-18,90.9
NODE_20_length_1999_cov_6.095085,477,1999,6.095085,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_21_length_1981_cov_1.158576,85,1981,1.158576,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2508852,-200,10662,28883,2731619,2731618,-650,10239,Viruses,QAU04534.1,40.678,118,65,3.46e-16,80.1
NODE_22_length_1972_cov_1.213550,40,1972,1.213550,220622,57665,72294,213849,29547,1224,-650,2,Bacteria,CP023275.1,81.053,1842,335,0.0,1456.0,1537915,57665,72294,213849,29547,1224,-650,2,Bacteria,KFL35201.1,90.268,411,40,0.0,791.0
NODE_23_length_1885_cov_1.226394,40,1885,1.226394,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EKD30953.1,85.032,314,47,0.0,575.0
NODE_24_length_1874_cov_0.867773,84,1874,0.867773,1768242,318147,-300,80840,28216,1224,-650,2,Bacteria,CP013692.1,83.505,97,12,2.69e-13,87.9,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_011286495.1,82.182,275,49,9.98e-170,487.0
NODE_25_length_1859_cov_0.353926,247,1859,0.353926,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1278212,28196,72294,213849,29547,1224,-650,2,Bacteria,WP_118885742.1,37.349,83,41,0.058,39.3
NODE_26_length_1842_cov_1.158601,108,1842,1.158601,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,AJ431260.1,97.961,981,18,0.0,1700.0,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,CAD24350.1,93.015,272,19,0.0,521.0
NODE_27_length_1835_cov_2.817916,624,1835,2.817916,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,765840,475,468,72274,1236,1224,-650,2,Bacteria,ELA08268.1,30.38,395,272,2.45e-51,187.0
NODE_28_length_1798_cov_3.181927,173,1798,3.181927,2740515,223785,292630,213849,29547,1224,-650,2,Bacteria,AP023212.1,92.308,65,5,5.55e-15,93.5,83552,83551,92713,1963360,204429,204428,-650,2,Bacteria,EFB42326.1,68.966,29,9,0.000785,45.1
NODE_29_length_1782_cov_0.967372,50,1782,0.967372,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1802257,202746,2771471,213849,29547,1224,-650,2,Bacteria,OHE11043.1,78.716,296,57,7.18e-160,461.0
NODE_30_length_1674_cov_1.400129,132,1674,1.400129,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,34085,34084,2762318,200644,117743,976,-650,2,Bacteria,WP_154471439.1,43.532,402,212,2.41e-101,317.0
NODE_31_length_1666_cov_1.118908,110,1666,1.118908,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,200,194,72294,213849,29547,1224,-650,2,Bacteria,WP_169777780.1,43.868,212,115,7.04e-52,180.0
NODE_32_length_1663_cov_1.036458,58,1663,1.036458,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,56698,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_041955753.1,46.64,253,77,2.98e-57,192.0
NODE_33_length_1643_cov_4.375989,328,1643,4.375989,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2013735,-200,-300,-400,-500,456828,-650,2,Bacteria,PKN73506.1,38.636,132,61,1.81e-15,76.3
NODE_34_length_1606_cov_0.851927,55,1606,0.851927,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1797347,-200,-300,-400,-500,976,-650,2,Bacteria,OFY41699.1,76.449,535,126,0.0,863.0
NODE_35_length_1587_cov_0.635616,44,1587,0.635616,1854492,57665,72294,213849,29547,1224,-650,2,Bacteria,CP039734.2,81.397,1102,201,0.0,896.0,1802257,202746,2771471,213849,29547,1224,-650,2,Bacteria,OHE11826.1,97.347,377,10,0.0,754.0
NODE_36_length_1583_cov_0.965659,36,1583,0.965659,1854493,57665,72294,213849,29547,1224,-650,2,Bacteria,CP045453.2,80.076,1571,295,0.0,1151.0,56698,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_041956322.1,94.0,350,20,0.0,610.0
NODE_37_length_1583_cov_0.562500,98,1583,0.562500,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1895922,-200,-300,-400,-500,976,-650,2,Bacteria,OJV17963.1,32.653,441,266,9.3e-53,187.0
NODE_38_length_1582_cov_1.699656,110,1582,1.699656,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2419626,1915205,10662,28883,2731619,2731618,-650,10239,Viruses,AYP68895.1,39.474,38,23,0.15,35.8
NODE_39_length_1557_cov_0.926573,54,1557,0.926573,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,146940,146936,2008795,206389,28216,1224,-650,2,Bacteria,WP_170160124.1,44.928,483,252,4.29e-125,382.0
NODE_40_length_1536_cov_0.916962,52,1536,0.916962,123841,209,72293,213849,29547,1224,-650,2,Bacteria,LR698957.1,82.474,97,17,7.9e-13,86.1,194424,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_069477590.1,76.087,276,65,1.72e-159,456.0
NODE_41_length_1534_cov_1.063966,116,1534,1.063966,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4134658.1,52.941,102,47,5.29e-26,105.0
NODE_42_length_1525_cov_1.739628,72,1525,1.739628,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1797837,-200,-300,-400,28221,1224,-650,2,Bacteria,OGP67109.1,31.361,169,97,1.17e-14,75.1
NODE_43_length_1510_cov_0.792480,35,1510,0.792480,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,65553,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_012856401.1,72.093,430,119,0.0,656.0
NODE_44_length_1490_cov_1.166544,48,1490,1.166544,1581011,57665,72294,213849,29547,1224,-650,2,Bacteria,AP014723.1,85.257,719,102,0.0,737.0,1581011,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_067176613.1,92.857,238,17,2.71e-146,426.0
NODE_45_length_1489_cov_0.737885,45,1489,0.737885,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1895922,-200,-300,-400,-500,976,-650,2,Bacteria,OJV22144.1,85.792,366,52,0.0,626.0
NODE_46_length_1484_cov_0.915254,104,1484,0.915254,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA62646.1,41.05,419,232,1.3e-100,318.0
NODE_47_length_1443_cov_0.591185,39,1443,0.591185,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EKD31812.1,80.729,192,37,4.17e-111,334.0
NODE_48_length_1443_cov_0.345745,56,1443,0.345745,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,205,194,72294,213849,29547,1224,-650,2,Bacteria,RKV94066.1,48.855,131,67,1.05e-34,128.0
NODE_49_length_1442_cov_1.114068,46,1442,1.114068,512649,662,641,135623,1236,1224,-650,2,Bacteria,CP018616.1,91.803,61,4,2.66e-12,84.2,66821,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_025346210.1,93.023,258,18,1.28e-161,466.0
NODE_50_length_1440_cov_0.701447,52,1440,0.701447,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,66821,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_025343659.1,89.147,258,28,1e-168,477.0
NODE_51_length_1435_cov_0.544343,23,1435,0.544343,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1581011,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_067173128.1,70.789,380,110,0.0,557.0
NODE_52_length_1423_cov_1.027006,125,1423,1.027006,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026735,-200,-300,-400,28221,1224,-650,2,Bacteria,RLA76495.1,30.396,227,147,3.74e-22,98.2
NODE_53_length_1413_cov_0.874806,34,1413,0.874806,194424,57665,72294,213849,29547,1224,-650,2,Bacteria,CP017111.1,85.969,955,132,0.0,1020.0,194424,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_069478346.1,92.57,323,24,0.0,548.0
NODE_54_length_1398_cov_1.034618,90,1398,1.034618,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,480,475,468,72274,1236,1224,-650,2,Bacteria,WP_049149414.1,42.857,315,152,1.55e-63,210.0
NODE_55_length_1388_cov_0.663759,38,1388,0.663759,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1537915,57665,72294,213849,29547,1224,-650,2,Bacteria,KFL33566.1,66.008,253,85,2.97e-122,358.0
NODE_56_length_1374_cov_1.208500,30,1374,1.208500,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EKD31434.1,92.115,279,22,0.0,513.0
NODE_57_length_1367_cov_1.845161,107,1367,1.845161,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_58_length_1357_cov_1.293496,44,1357,1.293496,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,85.619,1356,190,0.0,1419.0,2013703,-200,-300,-400,28216,1224,-650,2,Bacteria,PKO85045.1,95.769,260,11,3.97e-176,498.0
NODE_59_length_1351_cov_0.624183,56,1351,0.624183,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1076,1073,41294,356,28211,1224,-650,2,Bacteria,TAH64295.1,99.048,210,2,1.26e-151,434.0
NODE_60_length_1350_cov_2.653312,188,1350,2.653312,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,28095,32008,119060,80840,28216,1224,-650,2,Bacteria,WP_186200442.1,42.424,66,37,2.04e-07,55.5
NODE_61_length_1350_cov_1.190515,36,1350,1.190515,2487064,59732,2762318,200644,117743,976,-650,2,Bacteria,CP033918.1,81.319,273,49,1.82e-53,220.0,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EKD31230.1,93.801,371,23,0.0,732.0
NODE_62_length_1346_cov_1.042658,69,1346,1.042658,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA59452.1,31.034,203,111,3.83e-11,65.5
NODE_63_length_1343_cov_0.763158,22,1343,0.763158,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,56698,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_198133078.1,79.009,424,87,0.0,688.0
NODE_64_length_1338_cov_0.954583,69,1338,0.954583,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,28197,28196,72294,213849,29547,1224,-650,2,Bacteria,WP_152055469.1,40.268,298,138,7.02e-39,148.0
NODE_65_length_1335_cov_0.792219,38,1335,0.792219,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852890,-200,-300,-400,-500,1239,-650,2,Bacteria,OQA14480.1,33.333,42,28,0.88,34.7
NODE_66_length_1334_cov_1.565866,108,1334,1.565866,551760,551759,75787,206389,28216,1224,-650,2,Bacteria,CR555306.1,82.418,273,44,6.42e-58,235.0,1898103,-200,75787,206389,28216,1224,-650,2,Bacteria,TXT31865.1,97.143,140,4,3.33e-96,287.0
NODE_67_length_1329_cov_0.702995,58,1329,0.702995,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2604899,-200,10744,28883,2731619,2731618,-650,10239,Viruses,YP_009882997.1,44.713,331,175,1.05e-85,277.0
NODE_68_length_1308_cov_0.939881,40,1308,0.939881,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,56698,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_041958505.1,71.774,248,70,1.3e-100,302.0
NODE_69_length_1308_cov_0.917866,48,1308,0.917866,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852939,-200,-300,-400,-500,-600,-650,2,Bacteria,OQB05032.1,98.013,151,3,5.88e-106,312.0
NODE_70_length_1301_cov_1.224020,42,1301,1.224020,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2587015,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_168658177.1,81.429,210,39,6.64e-122,356.0
NODE_71_length_1282_cov_1.005195,40,1282,1.005195,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026735,-200,-300,-400,28221,1224,-650,2,Bacteria,TNF00116.1,47.059,51,27,1.45e-07,56.2
NODE_72_length_1274_cov_1.836094,67,1274,1.836094,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,544645,574697,1853231,171549,200643,976,-650,2,Bacteria,WP_118259803.1,75.074,337,84,0.0,543.0
NODE_73_length_1270_cov_1.029746,34,1270,1.029746,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EKD31590.1,89.209,417,45,0.0,777.0
NODE_74_length_1269_cov_1.313485,70,1269,1.313485,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2100421,-200,-300,28883,2731619,2731618,-650,10239,Viruses,CAB4169733.1,35.357,280,157,9.27e-41,148.0
NODE_75_length_1268_cov_0.749343,50,1268,0.749343,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP000089.1,83.987,1274,196,0.0,1216.0,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_011288790.1,94.118,238,14,3.39e-160,454.0
NODE_76_length_1264_cov_0.559367,29,1264,0.559367,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,472,469,468,72274,1236,1224,-650,2,Bacteria,RUP38241.1,38.326,227,129,3.84e-43,155.0
NODE_77_length_1261_cov_1.382716,60,1261,1.382716,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP000089.1,81.588,592,101,1.96e-132,483.0,146940,146936,2008795,206389,28216,1224,-650,2,Bacteria,WP_173580403.1,72.112,251,60,3.35e-106,325.0
NODE_78_length_1260_cov_0.726390,61,1260,0.726390,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,88.629,1240,139,0.0,1507.0,1049336,50582,50581,30073,50557,6656,33208,2759,Eukaryota,KAF4516536.1,83.621,232,22,3.53e-161,358.0
NODE_79_length_1258_cov_1.108753,58,1258,1.108753,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,82.231,1255,211,0.0,1072.0,1917218,73029,2008795,206389,28216,1224,-650,2,Bacteria,TXI77920.1,95.965,347,14,0.0,698.0
NODE_80_length_1257_cov_1.158407,46,1257,1.158407,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1581011,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_067177905.1,40.571,350,158,9.71e-43,163.0
NODE_81_length_1255_cov_1.070035,52,1255,1.070035,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1933278,-200,-300,-400,183967,2283796,-650,2157,Archaea,PNX45596.1,34.94,166,89,1.39e-23,100.0
NODE_82_length_1251_cov_1.028470,44,1251,1.028470,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1852835,-200,-300,-400,-500,456828,-650,2,Bacteria,OQC08632.1,98.235,170,3,2.04e-119,348.0
NODE_83_length_1249_cov_0.726381,30,1249,0.726381,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2026809,-200,-300,-400,29547,1224,-650,2,Bacteria,RLA59452.1,29.63,216,112,1.11e-10,63.9
NODE_84_length_1247_cov_1.534821,56,1247,1.534821,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,663364,2321115,72294,213849,29547,1224,-650,2,Bacteria,WP_129088488.1,35.821,268,139,5.06e-06,51.6
NODE_85_length_1244_cov_0.934646,37,1244,0.934646,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,44674,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_014770524.1,75.85,294,70,5.31e-156,461.0
NODE_86_length_1243_cov_1.249104,48,1243,1.249104,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2563444,84567,84566,200666,117747,976,-650,2,Bacteria,WP_138721654.1,39.394,396,223,1e-65,220.0
NODE_87_length_1242_cov_0.745291,41,1242,0.745291,194424,57665,72294,213849,29547,1224,-650,2,Bacteria,CP017111.1,80.05,1198,212,0.0,863.0,1581011,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_067176292.1,83.293,413,68,0.0,708.0
NODE_88_length_1242_cov_0.592825,30,1242,0.592825,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,220622,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_168171306.1,61.985,413,157,0.0,563.0
NODE_89_length_1240_cov_1.395328,36,1240,1.395328,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1449181,-200,-300,-400,29547,1224,-650,2,Bacteria,PRY19035.1,77.966,413,91,0.0,650.0
NODE_90_length_1229_cov_1.110708,32,1229,1.110708,2013514,57665,72294,213849,29547,1224,-650,2,Bacteria,CP021979.1,80.083,1210,232,0.0,891.0,66821,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_025343384.1,85.981,321,45,0.0,540.0
NODE_91_length_1226_cov_1.846224,125,1226,1.846224,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1969726,265570,2771472,213849,29547,1224,-650,2,Bacteria,TQV61625.1,40.092,217,125,3.9e-42,152.0
NODE_92_length_1225_cov_0.901639,46,1225,0.901639,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,337779,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_153129819.1,74.693,407,102,0.0,651.0
NODE_93_length_1222_cov_2.810959,275,1222,2.810959,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_94_length_1221_cov_1.144424,20,1221,1.144424,66821,57665,72294,213849,29547,1224,-650,2,Bacteria,CP042966.1,92.105,152,8,9.88e-51,211.0,66821,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_025345528.1,56.679,277,119,1.04e-103,317.0
NODE_95_length_1221_cov_0.741316,42,1221,0.741316,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2570192,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_153151311.1,73.529,408,97,6.22e-173,502.0
NODE_96_length_1220_cov_0.591034,40,1220,0.591034,66821,57665,72294,213849,29547,1224,-650,2,Bacteria,CP042966.1,88.783,945,102,0.0,1155.0,1537915,57665,72294,213849,29547,1224,-650,2,Bacteria,KFL33763.1,96.894,322,10,0.0,644.0
NODE_97_length_1216_cov_0.800735,44,1216,0.800735,237258,501783,2762318,200644,117743,976,-650,2,Bacteria,CP034157.1,94.318,88,5,6.09e-28,135.0,2651169,-200,2100208,1921002,28211,1224,-650,2,Bacteria,KAB2837217.1,66.46,322,108,2.68e-159,456.0
NODE_98_length_1214_cov_0.688132,54,1214,0.688132,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2135614,168934,41295,204441,28211,1224,-650,2,Bacteria,WP_110252890.1,29.825,171,89,2.15e-08,55.8
NODE_99_length_1212_cov_1.022120,18,1212,1.022120,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,EKD30876.1,86.634,404,54,0.0,727.0
NODE_100_length_1212_cov_0.949309,44,1212,0.949309,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP000089.1,84.539,1203,183,0.0,1188.0,2570192,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_153149238.1,95.628,366,16,0.0,684.0
NODE_101_length_1209_cov_1.314233,58,1209,1.314233,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,91.887,1208,96,0.0,1687.0,1917218,73029,2008795,206389,28216,1224,-650,2,Bacteria,KAB2922540.1,99.18,122,1,1.51e-79,242.0
NODE_102_length_1203_cov_0.929368,41,1203,0.929368,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP000089.1,86.201,1203,164,0.0,1301.0,259537,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_041224228.1,94.015,401,24,0.0,767.0
NODE_103_length_1203_cov_0.683086,54,1203,0.683086,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,199,194,72294,213849,29547,1224,-650,2,Bacteria,WP_103648419.1,58.911,202,81,4.55e-71,232.0
NODE_104_length_1198_cov_1.499533,42,1198,1.499533,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,1736576,83618,32033,135614,1236,1224,-650,2,Bacteria,WP_055939171.1,84.444,135,21,1.73e-77,238.0
NODE_105_length_1198_cov_0.923436,40,1198,0.923436,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_117608397.1,59.877,162,65,2.02e-65,207.0
NODE_106_length_1197_cov_1.166355,33,1197,1.166355,2231055,73029,2008795,206389,28216,1224,-650,2,Bacteria,CP031842.1,83.673,1176,187,0.0,1103.0,73030,73029,2008795,206389,28216,1224,-650,2,Bacteria,WP_027456684.1,96.992,399,12,0.0,761.0
NODE_107_length_1195_cov_0.896067,32,1195,0.896067,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,56698,57665,72294,213849,29547,1224,-650,2,Bacteria,WP_041956012.1,80.24,167,33,3.4e-94,285.0
NODE_108_length_1187_cov_0.810377,49,1187,0.810377,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
